"unique_id","PERWT","SEX","EDUC","INCWAGE"
"201001240622",7968.6,2,6,0
"201001242021",19851.6,2,1,0
"201001242022",28659,1,5,0
"201001244821",27540.6,1,6,40000
"201001246221",4054.2,1,7,22500
"201001246222",4333.8,2,7,7000
"201001247611",6570.6,1,6,200
"201001249011",12302.4,2,6,0
"201001250411",22787.4,2,7,40000
"201001251811",4333.8,2,6,18000
"201001251812",3355.2,1,6,20000
"201001251813",4194,2,7,0
"201001251814",6151.2,2,4,400
"201001253211",14818.8,1,10,47000
"201001253212",12861.6,2,10,6100
"201001254601",24465,1,6,1000
"201001256001",10065.6,2,11,78000
"201001258801",24465,1,6,72000
"201001258802",21109.8,2,10,80000
"201001258804",25863,1,6,40000
"201001258805",26701.8,1,8,0
"201001260201",10485,2,10,39000
"201001262991",11044.2,1,7,24000
"201001262992",11323.8,2,8,17000
"201001264391",7549.2,1,7,0
"201001264392",7828.8,2,6,33000
"201001265791",7549.2,2,6,23000
"201001265793",8388,2,6,13000
"201001267191",10345.2,2,11,50000
"201001267192",9226.8,1,11,75000
"201001271381",8108.4,2,6,0
"201001271382",8527.8,1,6,44200
"201001271383",9087,1,6,0
"201001271384",9506.4,2,6,0
"201001272781",10624.8,2,11,0
"201001274181",4613.4,1,6,0
"201001274182",7968.6,2,6,0
"201001275571",17754.6,2,3,0
"201001276971",9087,1,6,0
"201001278371",14679,2,7,19000
"201001278372",23067,1,7,16000
"201001278373",16636.2,2,7,17000
"201001278374",14818.8,1,6,0
"201001278376",19012.8,1,8,17000
"201001279771",8388,2,7,43000
"201001279772",9925.8,2,6,0
"201001282561",8248.2,1,8,0
"201001282562",8947.2,2,8,0
"201001283961",21389.4,2,6,0
"201001283962",25443.6,1,4,0
"201001283963",41241,2,6,0
"201001283968",48650.4,1,7,20000
"201001285361",12302.4,2,10,25000
"201001285362",11463.6,1,10,0
"201001286761",9646.2,1,8,38000
"201001286762",15657.6,2,10,56000
"201001289551",8947.2,1,8,52000
"201001289554",6850.2,2,7,63000
"201001290951",8807.4,1,10,140000
"201001290952",8248.2,2,6,0
"201001290953",10065.6,1,7,14000
"201001292351",22368,1,5,20000
"201001292352",24185.4,2,6,20000
"201001293751",12022.8,1,10,0
"201001293752",11184,2,6,0
"201001295151",12162.6,1,6,90000
"201001295152",10485,1,5,7200
"201001295153",11184,1,5,0
"201001295155",10624.8,2,10,35000
"201001296541",10904.4,2,7,49000
"201001296542",10345.2,1,8,80000
"201001296543",12582,2,8,4000
"201001297941",26841.6,1,6,45000
"201001297942",26562,2,6,11000
"201001297943",33552,2,5,11000
"201001297944",34950,1,8,3000
"201001297945",37606.2,1,10,0
"201001299341",11323.8,1,8,61000
"201001299342",9646.2,2,8,0
"201001300741",11463.6,1,7,14900
"201001300742",10764.6,2,11,8800
"201001302141",12582,2,11,58000
"201001302142",12162.6,1,10,43000
"201001303531",21669,1,8,11500
"201001304931",9786,1,11,0
"201001306331",10904.4,1,11,0
"201001306332",11044.2,2,6,30000
"201001307731",24744.6,2,8,0
"201001309131",10764.6,2,11,54000
"201001309132",11323.8,1,11,70000
"201001310521",15517.8,1,11,0
"201001310522",17055.6,2,7,0
"201001311921",8947.2,1,6,29000
"201001311925",11603.4,1,3,12000
"201001311926",11883,2,6,10200
"201001311927",8388,2,6,0
"201001313321",15657.6,1,6,0
"201001314721",10764.6,2,6,0
"201001316121",6850.2,1,6,0
"201001316123",9786,1,6,0
"201001316124",6710.4,2,6,0
"201001317511",7968.6,1,6,0
"201001320311",9786,1,11,2000
"201001320312",7828.8,2,6,0
"201001321711",10485,1,10,18700
"201001321712",10904.4,2,7,8400
"201001323111",7968.6,2,6,3500
"201001324501",11044.2,2,7,35000
"201001324502",12861.6,1,8,0
"201001324503",11463.6,2,10,0
"201001327301",5871.6,1,1,0
"201001327302",6710.4,2,11,1400
"201001328701",11323.8,2,6,0
"201001330101",7549.2,1,6,0
"201001331491",8667.6,1,10,60000
"201001331492",8807.4,2,7,0
"201001334291",9226.8,2,8,0
"201001334292",8388,1,6,0
"201001337091",3634.8,1,6,8000
"201001338482",13141.2,1,5,7500
"201001338483",9646.2,1,6,0
"201001338485",10345.2,2,5,1900
"201001339881",18313.8,1,10,42000
"201001342681",5452.2,2,11,0
"201001344081",11323.8,1,10,0
"201001346871",10065.6,2,6,0
"201001346872",10205.4,1,6,20000
"201001348271",15657.6,1,10,8900
"201001348272",12861.6,2,6,0
"201001348273",35928.6,2,6,0
"201001349671",7549.2,1,6,63000
"201001349672",7409.4,2,10,0
"201001349673",9506.4,2,7,0
"201001351071",16636.2,2,10,50000
"201001351072",10485,1,10,58000
"201001352461",36068.4,1,7,65000
"201001352462",40262.4,1,5,0
"201001353861",7828.8,1,10,0
"201001353862",7828.8,2,8,0
"201001356661",12582,2,10,0
"201001356662",11743.2,1,11,0
"201001358061",7269.6,2,8,22000
"201001359451",24884.4,1,1,30000
"201001359452",28798.8,2,2,15000
"201001359453",29358,2,4,0
"201001359454",29358,2,3,0
"201001360851",42918.6,2,8,44000
"201001362251",10065.6,2,11,1e+05
"201001362252",10485,1,11,1e+05
"201001363652",14818.8,1,6,0
"201001363653",13420.8,2,10,24000
"201001365051",10904.4,2,7,42000
"201001365052",12022.8,1,11,318000
"201001365053",15517.8,1,7,18000
"201001366441",2935.8,2,6,0
"201001366442",1957.2,1,10,0
"201001367841",11184,1,10,45000
"201001367842",11603.4,2,10,0
"201001369241",12022.8,2,7,0
"201001369242",12162.6,1,7,0
"201001370641",11323.8,1,10,0
"201001370642",11184,2,11,0
"201001372041",14818.8,1,6,0
"201001372042",11184,2,6,0
"201001374831",13700.4,2,6,0
"201001374832",17335.2,1,6,4800
"201001376231",30616.2,1,6,112000
"201001377631",2516.4,1,7,0
"201001377632",2516.4,2,7,0
"201001379031",33691.8,2,6,0
"201001379032",35788.8,1,11,0
"201001381821",8388,1,8,0
"201001381822",11463.6,1,8,0
"201001381823",10624.8,1,6,0
"201001381824",12302.4,1,8,0
"201001381825",8527.8,1,6,0
"201001383221",12861.6,1,7,50000
"201001383222",13700.4,2,10,50000
"201001384621",11184,2,2,0
"201001386021",24325.2,1,10,0
"201001387411",35788.8,1,7,50000
"201001388811",7409.4,1,6,19200
"201001388812",7968.6,2,8,32600
"201001388813",8947.2,1,5,0
"201001390211",14119.8,2,7,1500
"201001390212",14399.4,1,11,90000
"201001390213",20970,2,7,800
"201001390214",8388,1,5,2000
"201001391611",11044.2,2,11,0
"201001394401",11323.8,1,2,23000
"201001394402",8527.8,2,1,0
"201001395801",10485,1,6,40000
"201001395802",11883,2,7,500
"201001397201",11184,2,6,26100
"201001397202",11184,1,6,36000
"201001398601",10764.6,1,10,0
"201001398602",10624.8,2,7,0
"201001398603",17055.6,1,5,0
"201001400001",38864.4,2,10,35800
"201001400002",42079.8,1,6,68000
"201001401391",10485,2,6,0
"201001401392",11323.8,1,10,0
"201001402791",14399.4,1,6,0
"201001402792",14818.8,2,6,0
"201001404191",13700.4,2,7,0
"201001404192",11883,1,8,0
"201001405591",22787.4,1,7,63000
"201001405592",16636.2,2,7,2600
"201001406991",13560.6,2,10,36000
"201001406992",17475,1,7,23400
"201001406993",16496.4,2,1,0
"201001408381",38025.6,2,10,0
"201001408382",44875.8,2,5,0
"201001408383",51166.8,2,5,0
"201001411181",9087,1,6,20000
"201001413981",9506.4,1,11,80000
"201001413982",9226.8,2,10,0
"201001413983",17195.4,2,7,0
"201001413984",12442.2,1,5,0
"201001416771",6011.4,1,7,31700
"201001416772",7129.8,2,7,20000
"201001418171",9786,1,11,112000
"201001419571",36208.2,1,10,0
"201001419572",28519.2,2,6,0
"201001420971",7968.6,1,6,50000
"201001420972",7689,2,11,54000
"201001420973",10345.2,2,7,15000
"201001422361",33971.4,1,7,0
"201001423761",14119.8,1,6,65000
"201001423762",12721.8,2,6,59000
"201001423764",14539.2,2,10,6000
"201001426561",8947.2,2,7,16000
"201001427961",10624.8,2,2,0
"201001429351",16776,2,2,0
"201001429352",19711.8,2,7,0
"201001429354",13700.4,1,6,18000
"201001430751",34111.2,1,6,0
"201001432151",22787.4,1,7,6000
"201001433551",36068.4,1,6,30000
"201001433552",33831.6,2,7,7200
"201001434951",27680.4,1,1,18000
"201001434952",26841.6,2,4,0
"201001437741",10065.6,1,7,44000
"201001437742",9646.2,2,7,0
"201001439141",10205.4,2,8,0
"201001440541",36767.4,1,8,0
"201001441941",18453.6,2,6,5000
"201001443331",3215.4,2,7,0
"201001443332",5172.6,1,2,0
"201001444731",14539.2,1,10,41000
"201001444732",13141.2,2,7,9000
"201001446131",13560.6,2,11,52000
"201001447531",8947.2,1,8,75000
"201001447532",9366.6,2,10,30000
"201001448931",11044.2,2,6,32000
"201001448932",10764.6,1,6,26900
"201001451721",9646.2,2,6,0
"201001453121",33272.4,1,7,40000
"201001453122",34390.8,2,11,0
"201001453123",44875.8,2,6,6000
"201001454521",8108.4,1,7,26000
"201001454522",8527.8,2,7,0
"201001455921",8248.2,2,8,34000
"201001455922",12442.2,2,6,4000
"201001457311",9506.4,1,11,0
"201001458711",20271,1,4,0
"201001460111",7689,2,7,8000
"201001460112",8527.8,1,6,8000
"201001461511",12162.6,1,6,0
"201001461512",11743.2,2,6,0
"201001462911",7968.6,1,8,45000
"201001462912",8108.4,2,6,42000
"201001462913",13141.2,1,6,4500
"201001464301",13141.2,1,8,0
"201001465701",11044.2,1,6,15000
"201001465702",11184,2,7,11800
"201001468501",3914.4,2,6,0
"201001469901",9366.6,1,6,30000
"201001471291",7269.6,1,11,105000
"201001471292",6430.8,2,11,76000
"201001471293",6850.2,2,4,0
"201001472691",13281,1,10,1300
"201001475491",17614.8,2,6,19900
"201001475492",21529.2,1,3,0
"201001475495",20830.2,1,7,0
"201001475496",25164,2,6,0
"201001478281",31594.8,1,10,50000
"201001478282",31874.4,2,6,0
"201001479681",27540.6,2,6,0
"201001481081",9087,2,8,0
"201001482481",7549.2,2,6,0
