"","id","abortion","pid","linc","female","college","mar","trump"
"253",253,1,3,9.69581741805373,1,0,0,NA
"254",254,0,0,9.52875773879718,1,0,0,NA
"255",255,0,1,9.32807896220044,0,0,0,NA
"256",256,NA,3,NA,1,0,0,NA
"257",257,1,4,11.8493941301565,0,0,0,NA
"258",258,1,0,10.9150793732642,1,1,0,0
"259",259,0,4,10.9150793732642,0,1,0,NA
"260",260,0,1,11.1198754694258,0,0,1,0
"261",261,1,0,11.982929094216,1,1,1,0
"262",262,1,0,11.982929094216,0,1,0,0
"263",263,1,NA,11.982929094216,0,1,1,NA
"264",264,0,3,11.3205475116983,1,1,1,1
"265",265,1,4,12.2060726455302,1,1,1,NA
"266",266,0,1,10.9150793732642,0,0,0,NA
"267",267,1,2,11.5129204649577,0,1,0,0
"268",268,1,2,11.3205475116983,1,0,0,0
"269",269,1,0,11.8493941301565,0,1,0,0
"270",270,1,1,11.3205475116983,1,0,0,NA
"271",271,1,2,11.1198754694258,0,0,0,1
"272",272,-1,1,9.52875773879718,0,1,1,NA
"273",273,0,1,11.1198754694258,1,0,0,0
"274",274,1,0,11.5129204649577,1,1,0,0
"275",275,1,0,11.3205475116983,1,1,0,0
"276",276,1,1,11.6952428550888,0,1,1,NA
"277",277,1,0,12.2060726455302,0,1,1,0
"278",278,1,1,10.3889799835841,1,0,0,0
"279",279,1,NA,11.6952428550888,0,0,1,NA
"280",280,1,1,12.2060726455302,1,1,1,0
"281",281,0,5,11.1198754694258,1,0,0,1
"282",282,1,2,11.3205475116983,0,0,1,NA
"283",283,0,5,NA,0,0,1,1
"284",284,1,5,11.8493941301565,0,0,1,1
"285",285,1,1,11.1198754694258,1,1,0,0
"286",286,0,1,11.6952428550888,1,0,1,0
"287",287,1,5,11.982929094216,1,1,0,0
"288",288,1,5,10.7144066575796,1,0,0,0
"289",289,NA,3,10.9150793732642,1,0,0,NA
"290",290,0,0,10.0753167566096,1,0,0,0
"291",291,-1,5,11.6952428550888,0,1,0,1
"292",292,1,NA,NA,1,1,1,NA
"293",293,0,1,10.7144066575796,1,0,0,1
"294",294,-1,5,10.9150793732642,0,0,0,1
"295",295,0,3,7.60065242828687,1,0,0,NA
"296",296,1,2,11.982929094216,1,1,1,0
"297",297,0,5,11.8493941301565,1,0,0,NA
"298",298,0,0,12.2060726455302,0,1,0,1
"299",299,1,1,11.1198754694258,1,1,0,0
"300",300,-1,3,11.3205475116983,1,1,0,NA
"301",301,1,0,11.8493941301565,1,1,1,0
"302",302,0,6,12.2060726455302,1,0,1,1
"303",303,1,1,12.2060726455302,0,0,1,0
"304",304,0,2,11.6952428550888,1,1,0,0
"305",305,0,4,11.1198754694258,0,0,1,NA
"306",306,-1,3,10.9150793732642,0,0,0,NA
"307",307,0,4,NA,0,1,0,1
